10099	23	3734	0	i	b
10100	3734	20	1288	a	f
10101	3734	23	0	a	b
10102	26	3769	0	i	b
10103	3769	26	0	i	b
10104	20	3769	1287	i	f
10105	21	3769	313	i	f
10106	23	3769	0	i	b
10107	3769	20	1288	a	f
10108	3769	23	0	a	b
10109	25	2205	1079	i	f
10110	1043	2205	1079	i	f
10111	26	4096	0	i	b
10112	4096	26	0	i	b
10113	20	4096	1287	i	f
10114	21	4096	313	i	f
10115	23	4096	0	i	b
10116	4096	20	1288	a	f
10117	4096	23	0	a	b
10118	26	4089	0	i	b
10119	4089	26	0	i	b
10120	20	4089	1287	i	f
10121	21	4089	313	i	f
10122	23	4089	0	i	b
10123	4089	20	1288	a	f
10124	4089	23	0	a	b
10125	25	1042	0	i	b
10126	25	1043	0	i	b
10127	1042	25	401	i	f
10128	1042	1043	401	i	f
10129	1043	25	0	i	b
10130	1043	1042	0	i	b
10131	18	25	946	i	f
10132	18	1042	860	a	f
10133	18	1043	946	a	f
10134	19	25	406	i	f
10135	19	1042	408	a	f
10136	19	1043	1401	a	f
10137	25	18	944	a	f
10138	1042	18	944	a	f
10139	1043	18	944	a	f
10140	25	19	407	i	f
10141	1042	19	409	i	f
10142	1043	19	1400	i	f
10143	18	23	77	e	f
10144	23	18	78	e	f
10145	194	25	0	i	b
10146	3361	17	0	i	b
10147	3361	25	0	i	i
10148	3402	17	0	i	b
10149	3402	25	0	i	i
10150	5017	17	0	i	b
10151	5017	25	0	i	i
10152	1082	1114	2024	i	f
10153	1082	1184	1174	i	f
10154	1083	1186	1370	i	f
10155	1083	1266	2047	i	f
10156	1114	1082	2029	a	f
10157	1114	1083	1316	a	f
10158	1114	1184	2028	i	f
10159	1184	1082	1178	a	f
10160	1184	1083	2019	a	f
10161	1184	1114	2027	a	f
10162	1184	1266	1388	a	f
10163	1186	1083	1419	a	f
10164	1266	1083	2046	a	f
10165	600	603	4091	a	f
10166	601	600	1532	e	f
10167	602	604	1449	a	f
10168	603	600	1534	e	f
10169	603	601	1541	e	f
10170	603	604	1448	a	f
10171	603	718	1479	e	f
10172	604	600	1540	e	f
10173	604	602	1447	a	f
10174	604	603	1446	e	f
10175	604	718	1474	e	f
10176	718	600	1416	e	f
10177	718	603	1480	e	f
10178	718	604	1544	e	f
10179	829	774	4123	i	f
10180	774	829	4124	i	f
10181	650	869	0	i	b
10182	869	650	1715	a	f
10183	1560	1562	0	i	b
10184	1562	1560	0	i	b
10185	20	1560	2075	e	f
10186	23	1560	1683	e	f
10187	1560	20	2076	e	f
10188	1560	23	1684	e	f
10189	650	25	730	a	f
10190	869	25	730	a	f
10191	16	25	2971	a	f
10192	142	25	0	a	b
10193	25	142	2896	e	f
10194	650	1043	730	a	f
10195	869	1043	730	a	f
10196	16	1043	2971	a	f
10197	142	1043	0	a	b
10198	1043	142	2896	e	f
10199	650	1042	730	a	f
10200	869	1042	730	a	f
10201	16	1042	2971	a	f
10202	142	1042	0	a	b
10203	1042	142	2896	e	f
10204	1042	1042	668	i	f
10205	1043	1043	669	i	f
10206	1083	1083	1968	i	f
10207	1114	1114	1961	i	f
10208	1184	1184	1967	i	f
10209	1186	1186	1200	i	f
10210	1266	1266	1969	i	f
10211	1560	1560	1685	i	f
10212	1562	1562	1687	i	f
10213	1700	1700	1703	i	f
10214	114	3802	0	a	i
10215	3802	114	0	a	i
10216	3802	16	3556	e	f
10217	3802	1700	3449	e	f
10218	3802	21	3450	e	f
10219	3802	23	3451	e	f
10220	3802	20	3452	e	f
10221	3802	700	3453	e	f
10222	3802	701	2580	e	f
10223	3904	4451	4281	e	f
10224	3926	4536	4296	e	f
10225	3906	4532	4284	e	f
10226	3912	4535	4293	e	f
10227	3908	4533	4287	e	f
10228	3910	4534	4290	e	f
